Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Ticket Status,Date Case Closed,Victim Group,Resolution Category,Time Of Crime,Month of Crime,Year of crime,Resolution_Days,Reporting_Delay
21662,23 Jun 2022,21 Jun 2022,5:44 AM,Thane,433,ARSON,51,F,Other,Fire Accident,17,Solved,4 Jul 2022,Adult,Fast,Night,Jun,2022,13.41666667,2.92
19851,10 Apr 2022,7 Apr 2022,7:31 PM,Kolkata,344,DRUG OFFENSE,76,F,Blunt Object,Other Crime,16,Active,Not Closed,Senior,Not Resolved,Afternoon,Apr,2022,Not Resolved,1.50
32573,20 Sep 2023,19 Sep 2023,3:37 AM,Ghaziabad,562,DOMESTIC VIOLENCE,63,M,Other,Violent Crime,6,Active,Not Closed,Senior,Not Resolved,Night,Sep,2023,Not Resolved,0.96
9838,14 Feb 2021,13 Feb 2021,6:54 PM,Visakhapatnam,172,ARSON,57,M,Other,Fire Accident,3,Active,Not Closed,Adult,Not Resolved,Afternoon,Feb,2021,Not Resolved,0.58
7020,20 Oct 2020,19 Oct 2020,2:59 AM,Delhi,353,ROBBERY,29,F,Knife,Violent Crime,18,Solved,17 Dec 2020,Adult,Moderate,Night,Oct,2020,58.58333333,0.04
10015,21 Feb 2021,21 Feb 2021,6:45 PM,Delhi,293,EXTORTION,27,M,Poison,Other Crime,18,Solved,5 Apr 2021,Adult,Moderate,Afternoon,Feb,2021,43.04166667,0.13
23033,17 Aug 2022,17 Aug 2022,5:04 PM,Chennai,465,FIREARM OFFENSE,32,M,Explosives,Fire Accident,5,Active,Not Closed,Adult,Not Resolved,Afternoon,Aug,2022,Not Resolved,1.13
12150,22 May 2021,21 May 2021,6:05 AM,Delhi,142,FIREARM OFFENSE,61,F,Unknown Weapon,Fire Accident,2,Active,Not Closed,Senior,Not Resolved,Morning,May,2021,Not Resolved,1.29
18638,16 Feb 2022,15 Feb 2022,9:35 PM,Patna,478,VEHICLE - STOLEN,56,F,Poison,Violent Crime,14,Solved,15 Mar 2022,Adult,Fast,Night,Feb,2022,28.29166667,1.63
6763,10 Oct 2020,8 Oct 2020,3:38 AM,Bangalore,373,KIDNAPPING,32,M,Firearm,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Night,Oct,2020,Not Resolved,2.96
8308,15 Dec 2020,12 Dec 2020,3:28 AM,Mumbai,352,EXTORTION,59,M,Unknown Weapon,Other Crime,19,Solved,31 Dec 2020,Adult,Fast,Night,Dec,2020,18.95833333,0.96
800,4 Feb 2020,3 Feb 2020,9:45 PM,Bhopal,232,KIDNAPPING,12,F,Blunt Object,Other Crime,5,Active,Not Closed,Minor,Not Resolved,Night,Feb,2020,Not Resolved,0.29
17054,11 Dec 2021,11 Dec 2021,7:16 PM,Mumbai,379,VANDALISM,51,M,Knife,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Afternoon,Dec,2021,Not Resolved,1.92
36321,24 Feb 2024,22 Feb 2024,11:41 AM,Kolkata,477,TRAFFIC VIOLATION,69,M,Firearm,Traffic Fatality,8,Active,Not Closed,Senior,Not Resolved,Morning,Feb,2024,Not Resolved,1.92
11491,25 Apr 2021,23 Apr 2021,2:41 PM,Mumbai,463,IDENTITY THEFT,68,F,Explosives,Violent Crime,6,Active,Not Closed,Senior,Not Resolved,Morning,Apr,2021,Not Resolved,0.63
2718,23 Apr 2020,23 Apr 2020,2:43 AM,Indore,415,IDENTITY THEFT,63,M,Poison,Violent Crime,2,Solved,29 Jun 2020,Senior,Moderate,Night,Apr,2020,67.625,2.00
30001,6 Jun 2023,4 Jun 2023,5:38 PM,Delhi,451,SEXUAL ASSAULT,48,F,Knife,Violent Crime,15,Solved,15 Nov 2024,Adult,Very Slow,Afternoon,Jun,2023,530,0.83
10781,26 Mar 2021,25 Mar 2021,11:23 PM,Bangalore,350,COUNTERFEITING,73,F,Unknown Weapon,Other Crime,15,Active,Not Closed,Senior,Not Resolved,Night,Mar,2021,Not Resolved,2.54
15187,27 Sep 2021,24 Sep 2021,3:48 AM,Mumbai,116,EXTORTION,17,F,Blunt Object,Other Crime,18,Active,Not Closed,Minor,Not Resolved,Night,Sep,2021,Not Resolved,2.33
6873,15 Oct 2020,13 Oct 2020,1:05 AM,Rajkot,320,BURGLARY,22,F,Firearm,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Night,Oct,2020,Not Resolved,1.67
17949,19 Jan 2022,17 Jan 2022,2:10 PM,Mumbai,542,COUNTERFEITING,77,M,Blunt Object,Other Crime,12,Solved,18 Apr 2022,Senior,Moderate,Morning,Jan,2022,90.66666667,0.92
21150,1 Jun 2022,31 May 2022,10:02 PM,Pune,266,PUBLIC INTOXICATION,71,Other,Other,Other Crime,6,Active,Not Closed,Senior,Not Resolved,Night,May,2022,Not Resolved,0.04
22414,22 Jul 2022,22 Jul 2022,9:11 AM,Delhi,553,BURGLARY,20,F,Unknown Weapon,Other Crime,13,Solved,3 Dec 2022,Adult,Slow,Morning,Jul,2022,134.0416667,2.13
31703,16 Aug 2023,13 Aug 2023,1:10 AM,Mumbai,201,ASSAULT,20,F,Other,Violent Crime,6,Active,Not Closed,Adult,Not Resolved,Night,Aug,2023,Not Resolved,2.67
22421,25 Jul 2022,23 Jul 2022,4:09 AM,Kolkata,473,VANDALISM,29,Other,Explosives,Other Crime,2,Solved,2 Aug 2022,Adult,Fast,Night,Jul,2022,10.66666667,1.33
3732,5 Jun 2020,4 Jun 2020,11:45 AM,Visakhapatnam,130,COUNTERFEITING,59,M,Poison,Other Crime,18,Active,Not Closed,Adult,Not Resolved,Morning,Jun,2020,Not Resolved,2.63
10350,9 Mar 2021,7 Mar 2021,9:32 AM,Lucknow,233,FRAUD,69,F,Knife,Other Crime,5,Solved,23 Mar 2021,Senior,Fast,Morning,Mar,2021,16.625,0.96
30852,10 Jul 2023,9 Jul 2023,8:31 PM,Patna,284,DOMESTIC VIOLENCE,11,F,Unknown Weapon,Violent Crime,7,Active,Not Closed,Minor,Not Resolved,Night,Jul,2023,Not Resolved,0.46
32195,3 Sep 2023,3 Sep 2023,12:35 AM,Bangalore,410,ILLEGAL POSSESSION,50,M,Other,Other Crime,8,Active,Not Closed,Adult,Not Resolved,Night,Sep,2023,Not Resolved,1.25
28161,20 Mar 2023,19 Mar 2023,4:34 PM,Hyderabad,119,ARSON,62,F,Unknown Weapon,Fire Accident,18,Active,Not Closed,Senior,Not Resolved,Afternoon,Mar,2023,Not Resolved,2.00
12000,16 May 2021,14 May 2021,4:39 AM,Delhi,403,HOMICIDE,75,M,Knife,Other Crime,16,Active,Not Closed,Senior,Not Resolved,Night,May,2021,Not Resolved,2.38
34017,20 Nov 2023,18 Nov 2023,8:28 PM,Kanpur,538,KIDNAPPING,76,M,Other,Other Crime,9,Solved,3 Feb 2024,Senior,Moderate,Night,Nov,2023,77.375,0.71
30550,27 Jun 2023,26 Jun 2023,2:56 PM,Kanpur,239,TRAFFIC VIOLATION,73,M,Unknown Weapon,Traffic Fatality,13,Solved,25 Jul 2023,Senior,Fast,Morning,Jun,2023,28.70833333,2.17
31761,18 Aug 2023,16 Aug 2023,4:35 AM,Jaipur,264,COUNTERFEITING,55,F,Knife,Other Crime,14,Solved,26 Oct 2023,Adult,Moderate,Night,Aug,2023,71.16666667,1.08
8528,22 Dec 2020,21 Dec 2020,11:03 AM,Delhi,507,PUBLIC INTOXICATION,17,M,Unknown Weapon,Other Crime,11,Solved,13 Jan 2021,Minor,Fast,Morning,Dec,2020,23.08333333,1.00
16763,30 Nov 2021,29 Nov 2021,3:33 PM,Delhi,322,SHOPLIFTING,51,M,Other,Other Crime,7,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2021,Not Resolved,0.50
561,24 Jan 2020,24 Jan 2020,5:37 PM,Chennai,212,VANDALISM,75,M,Explosives,Other Crime,17,Active,Not Closed,Senior,Not Resolved,Afternoon,Jan,2020,Not Resolved,2.50
37779,25 Apr 2024,23 Apr 2024,9:47 AM,Thane,229,VEHICLE - STOLEN,39,F,Unknown Weapon,Violent Crime,13,Solved,2 May 2024,Adult,Very Fast,Morning,Apr,2024,9.5,0.17
16880,4 Dec 2021,4 Dec 2021,9:43 PM,Delhi,500,VEHICLE - STOLEN,39,Other,Firearm,Violent Crime,17,Active,Not Closed,Adult,Not Resolved,Night,Dec,2021,Not Resolved,2.58
33537,31 Oct 2023,29 Oct 2023,10:16 AM,Ahmedabad,105,ARSON,21,F,Explosives,Fire Accident,14,Solved,18 Dec 2023,Adult,Moderate,Morning,Oct,2023,50.58333333,2.67
3274,19 May 2020,16 May 2020,3:14 PM,Indore,365,IDENTITY THEFT,26,F,Knife,Violent Crime,15,Active,Not Closed,Adult,Not Resolved,Morning,May,2020,Not Resolved,0.92
11210,12 Apr 2021,12 Apr 2021,4:53 AM,Indore,563,IDENTITY THEFT,53,F,Blunt Object,Violent Crime,18,Active,Not Closed,Adult,Not Resolved,Night,Apr,2021,Not Resolved,0.33
25278,19 Nov 2022,19 Nov 2022,7:34 AM,Chennai,235,ARSON,42,M,Other,Fire Accident,12,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2022,Not Resolved,2.92
18007,23 Jan 2022,20 Jan 2022,9:52 AM,Delhi,550,CYBERCRIME,64,F,Knife,Other Crime,8,Active,Not Closed,Senior,Not Resolved,Morning,Jan,2022,Not Resolved,2.42
8698,30 Dec 2020,28 Dec 2020,11:58 PM,Delhi,232,FRAUD,13,M,Unknown Weapon,Other Crime,15,Active,Not Closed,Minor,Not Resolved,Night,Dec,2020,Not Resolved,1.13
10373,9 Mar 2021,8 Mar 2021,10:36 PM,Delhi,512,VEHICLE - STOLEN,22,F,Unknown Weapon,Violent Crime,19,Active,Not Closed,Adult,Not Resolved,Night,Mar,2021,Not Resolved,2.04
20654,12 May 2022,10 May 2022,4:18 AM,Surat,556,ROBBERY,35,Other,Blunt Object,Violent Crime,16,Solved,3 Aug 2022,Adult,Moderate,Night,May,2022,85.04166667,1.33
13749,28 Jul 2021,26 Jul 2021,11:59 PM,Ahmedabad,354,ROBBERY,63,F,Knife,Violent Crime,17,Solved,22 Jan 2022,Senior,Slow,Night,Jul,2021,179.3333333,2.46
26809,24 Jan 2023,22 Jan 2023,11:57 AM,Chennai,430,ARSON,24,M,Other,Fire Accident,16,Active,Not Closed,Adult,Not Resolved,Morning,Jan,2023,Not Resolved,1.21
21709,24 Jun 2022,23 Jun 2022,6:34 PM,Bhopal,141,ARSON,16,Other,Explosives,Fire Accident,4,Active,Not Closed,Minor,Not Resolved,Afternoon,Jun,2022,Not Resolved,1.13
2220,3 Apr 2020,2 Apr 2020,6:00 AM,Pune,339,ASSAULT,10,M,Blunt Object,Violent Crime,6,Active,Not Closed,Minor,Not Resolved,Morning,Apr,2020,Not Resolved,0.38
13566,19 Jul 2021,19 Jul 2021,7:30 AM,Faridabad,300,IDENTITY THEFT,48,F,Poison,Violent Crime,7,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2021,Not Resolved,2.08
10779,27 Mar 2021,25 Mar 2021,9:11 AM,Ghaziabad,522,DOMESTIC VIOLENCE,13,F,Blunt Object,Violent Crime,8,Active,Not Closed,Minor,Not Resolved,Morning,Mar,2021,Not Resolved,2.67
21387,12 Jun 2022,10 Jun 2022,11:24 PM,Bangalore,108,FIREARM OFFENSE,69,Other,Unknown Weapon,Fire Accident,8,Active,Not Closed,Senior,Not Resolved,Night,Jun,2022,Not Resolved,1.67
20273,26 Apr 2022,24 Apr 2022,9:17 PM,Bangalore,227,ARSON,58,Other,Firearm,Fire Accident,12,Active,Not Closed,Adult,Not Resolved,Night,Apr,2022,Not Resolved,0.54
4960,26 Jul 2020,25 Jul 2020,7:16 PM,Ahmedabad,223,ILLEGAL POSSESSION,18,F,Other,Other Crime,4,Solved,30 Aug 2020,Adult,Moderate,Afternoon,Jul,2020,35.54166667,0.17
22520,27 Jul 2022,27 Jul 2022,9:09 AM,Chennai,571,IDENTITY THEFT,47,F,Poison,Violent Crime,10,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2022,Not Resolved,2.83
35672,29 Jan 2024,26 Jan 2024,11:50 AM,Delhi,367,ILLEGAL POSSESSION,64,F,Firearm,Other Crime,19,Solved,12 Feb 2024,Senior,Fast,Morning,Jan,2024,16.83333333,2.83
4613,14 Jul 2020,11 Jul 2020,2:53 AM,Ghaziabad,317,COUNTERFEITING,54,F,Firearm,Other Crime,7,Active,Not Closed,Adult,Not Resolved,Night,Jul,2020,Not Resolved,1.83
12311,29 May 2021,27 May 2021,6:03 PM,Kolkata,366,PUBLIC INTOXICATION,34,F,Unknown Weapon,Other Crime,8,Solved,4 Jun 2021,Adult,Very Fast,Afternoon,May,2021,7.833333333,1.46
36783,14 Mar 2024,12 Mar 2024,8:56 AM,Pune,438,PUBLIC INTOXICATION,52,F,Firearm,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Morning,Mar,2024,Not Resolved,1.67
11722,5 May 2021,3 May 2021,8:52 AM,Nagpur,243,SEXUAL ASSAULT,66,M,Firearm,Violent Crime,4,Active,Not Closed,Senior,Not Resolved,Morning,May,2021,Not Resolved,0.25
26201,27 Dec 2022,27 Dec 2022,12:05 PM,Delhi,181,VEHICLE - STOLEN,57,M,Blunt Object,Violent Crime,19,Solved,12 Mar 2023,Adult,Moderate,Morning,Dec,2022,75.25,0.79
30737,5 Jul 2023,4 Jul 2023,3:34 PM,Lucknow,253,TRAFFIC VIOLATION,26,F,Explosives,Traffic Fatality,7,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2023,Not Resolved,1.08
642,28 Jan 2020,27 Jan 2020,8:20 AM,Bangalore,354,DRUG OFFENSE,75,F,Knife,Other Crime,5,Active,Not Closed,Senior,Not Resolved,Morning,Jan,2020,Not Resolved,1.63
6572,2 Oct 2020,30 Sep 2020,9:26 AM,Agra,548,KIDNAPPING,17,F,Knife,Other Crime,10,Solved,15 Dec 2020,Minor,Moderate,Morning,Sep,2020,75.625,1.04
13779,29 Jul 2021,28 Jul 2021,4:18 AM,Hyderabad,146,DOMESTIC VIOLENCE,79,F,Other,Violent Crime,9,Solved,30 Aug 2021,Senior,Moderate,Night,Jul,2021,33.04166667,2.17
18610,16 Feb 2022,14 Feb 2022,12:30 AM,Srinagar,160,PUBLIC INTOXICATION,49,M,Other,Other Crime,11,Solved,5 Mar 2022,Adult,Fast,Night,Feb,2022,19.16666667,2.25
24328,12 Oct 2022,10 Oct 2022,6:38 PM,Mumbai,221,DOMESTIC VIOLENCE,65,Other,Other,Violent Crime,7,Solved,30 Oct 2022,Senior,Fast,Afternoon,Oct,2022,20.25,2.33
29713,25 May 2023,23 May 2023,4:39 PM,Jaipur,294,FIREARM OFFENSE,57,M,Firearm,Fire Accident,5,Solved,29 Jul 2023,Adult,Moderate,Afternoon,May,2023,67.33333333,0.08
2549,16 Apr 2020,16 Apr 2020,11:27 PM,Mumbai,462,CYBERCRIME,76,M,Poison,Other Crime,7,Solved,12 May 2020,Senior,Fast,Night,Apr,2020,26.08333333,1.88
37231,2 Apr 2024,31 Mar 2024,5:50 PM,Hyderabad,392,HOMICIDE,51,F,Blunt Object,Other Crime,19,Solved,13 Jan 2025,Adult,Very Slow,Afternoon,Mar,2024,287.875,1.21
17307,23 Dec 2021,22 Dec 2021,12:09 AM,Kolkata,577,SHOPLIFTING,10,M,Other,Other Crime,17,Active,Not Closed,Minor,Not Resolved,Night,Dec,2021,Not Resolved,1.46
17962,19 Jan 2022,18 Jan 2022,3:15 AM,Nashik,354,VEHICLE - STOLEN,64,Other,Poison,Violent Crime,1,Active,Not Closed,Senior,Not Resolved,Night,Jan,2022,Not Resolved,2.79
17182,19 Dec 2021,16 Dec 2021,11:36 AM,Mumbai,582,EXTORTION,34,Other,Firearm,Other Crime,11,Active,Not Closed,Adult,Not Resolved,Morning,Dec,2021,Not Resolved,1.42
10562,17 Mar 2021,16 Mar 2021,5:58 PM,Mumbai,274,EXTORTION,25,F,Poison,Other Crime,1,Solved,1 Apr 2021,Adult,Fast,Afternoon,Mar,2021,16.41666667,0.96
28656,9 Apr 2023,8 Apr 2023,4:22 PM,Kolkata,299,COUNTERFEITING,23,F,Unknown Weapon,Other Crime,6,Solved,18 Jun 2023,Adult,Moderate,Afternoon,Apr,2023,70.95833333,0.25
8871,4 Jan 2021,4 Jan 2021,1:25 AM,Chennai,307,SHOPLIFTING,65,F,Firearm,Other Crime,8,Solved,10 Mar 2021,Senior,Moderate,Night,Jan,2021,65.25,1.79
239,12 Jan 2020,10 Jan 2020,10:13 AM,Delhi,418,FIREARM OFFENSE,65,M,Knife,Fire Accident,15,Active,Not Closed,Senior,Not Resolved,Morning,Jan,2020,Not Resolved,0.96
27421,17 Feb 2023,16 Feb 2023,6:24 AM,Ludhiana,517,FRAUD,47,F,Blunt Object,Other Crime,8,Solved,23 Apr 2023,Adult,Moderate,Morning,Feb,2023,65.95833333,2.79
25972,20 Dec 2022,18 Dec 2022,3:33 PM,Delhi,283,COUNTERFEITING,40,F,Blunt Object,Other Crime,18,Solved,28 Dec 2022,Adult,Fast,Morning,Dec,2022,10.79166667,2.25
2166,2 Apr 2020,31 Mar 2020,3:47 PM,Delhi,275,ASSAULT,68,F,Explosives,Violent Crime,6,Solved,4 Jun 2020,Senior,Moderate,Morning,Mar,2020,65.25,1.71
3050,8 May 2020,7 May 2020,4:38 AM,Indore,482,COUNTERFEITING,15,F,Knife,Other Crime,10,Active,Not Closed,Minor,Not Resolved,Night,May,2020,Not Resolved,2.50
544,26 Jan 2020,23 Jan 2020,8:10 AM,Jaipur,195,PUBLIC INTOXICATION,24,F,Other,Other Crime,3,Solved,1 Feb 2020,Adult,Very Fast,Morning,Jan,2020,8.5,0.50
17405,26 Dec 2021,26 Dec 2021,12:43 AM,Faridabad,477,VEHICLE - STOLEN,21,M,Blunt Object,Violent Crime,11,Active,Not Closed,Adult,Not Resolved,Night,Dec,2021,Not Resolved,2.04
36922,20 Mar 2024,18 Mar 2024,4:53 PM,Chennai,430,VEHICLE - STOLEN,68,F,Knife,Violent Crime,16,Active,Not Closed,Senior,Not Resolved,Afternoon,Mar,2024,Not Resolved,2.00
14340,22 Aug 2021,20 Aug 2021,5:37 PM,Srinagar,515,ASSAULT,52,M,Knife,Violent Crime,1,Active,Not Closed,Adult,Not Resolved,Afternoon,Aug,2021,Not Resolved,0.21
28341,27 Mar 2023,26 Mar 2023,9:57 PM,Mumbai,303,DRUG OFFENSE,26,M,Other,Other Crime,12,Solved,31 May 2023,Adult,Moderate,Night,Mar,2023,65.20833333,2.04
37350,7 Apr 2024,5 Apr 2024,6:49 PM,Delhi,597,TRAFFIC VIOLATION,13,F,Explosives,Traffic Fatality,6,Solved,19 Apr 2024,Minor,Fast,Afternoon,Apr,2024,14.04166667,0.04
2631,19 Apr 2020,19 Apr 2020,10:45 AM,Ahmedabad,337,SHOPLIFTING,29,F,Poison,Other Crime,1,Active,Not Closed,Adult,Not Resolved,Morning,Apr,2020,Not Resolved,2.75
31020,19 Jul 2023,16 Jul 2023,10:02 PM,Bangalore,376,TRAFFIC VIOLATION,74,M,Poison,Traffic Fatality,1,Active,Not Closed,Senior,Not Resolved,Night,Jul,2023,Not Resolved,0.63
34579,12 Dec 2023,11 Dec 2023,5:33 PM,Pune,344,ROBBERY,12,F,Knife,Violent Crime,10,Active,Not Closed,Minor,Not Resolved,Afternoon,Dec,2023,Not Resolved,0.17
34913,25 Dec 2023,25 Dec 2023,12:31 PM,Bangalore,285,PUBLIC INTOXICATION,61,M,Explosives,Other Crime,7,Solved,28 Dec 2023,Senior,Very Fast,Morning,Dec,2023,3.166666667,0.38
31773,17 Aug 2023,16 Aug 2023,11:06 AM,Mumbai,347,EXTORTION,52,F,Other,Other Crime,1,Active,Not Closed,Adult,Not Resolved,Morning,Aug,2023,Not Resolved,2.08
37757,24 Apr 2024,22 Apr 2024,10:02 AM,Hyderabad,233,SEXUAL ASSAULT,51,M,Firearm,Violent Crime,17,Solved,19 Feb 2026,Adult,Very Slow,Morning,Apr,2024,668.0833333,0.04
33799,9 Nov 2023,9 Nov 2023,8:04 AM,Jaipur,159,EXTORTION,67,F,Firearm,Other Crime,3,Solved,19 Jan 2024,Senior,Moderate,Morning,Nov,2023,71.04166667,1.83
36822,16 Mar 2024,14 Mar 2024,6:31 PM,Kolkata,580,EXTORTION,40,F,Knife,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Afternoon,Mar,2024,Not Resolved,1.96
24127,4 Oct 2022,2 Oct 2022,9:24 PM,Chennai,486,CYBERCRIME,49,F,Unknown Weapon,Other Crime,10,Active,Not Closed,Adult,Not Resolved,Night,Oct,2022,Not Resolved,0.83
4186,24 Jun 2020,23 Jun 2020,2:29 PM,Jaipur,404,SEXUAL ASSAULT,68,M,Other,Violent Crime,2,Solved,13 May 2022,Senior,Very Slow,Morning,Jun,2020,688.8333333,1.29
32255,7 Sep 2023,5 Sep 2023,1:12 AM,Bangalore,519,TRAFFIC VIOLATION,43,M,Knife,Traffic Fatality,15,Solved,11 Sep 2023,Adult,Very Fast,Night,Sep,2023,5.291666667,0.21
29196,1 May 2023,1 May 2023,4:51 AM,Vasai,505,COUNTERFEITING,39,M,Poison,Other Crime,18,Active,Not Closed,Adult,Not Resolved,Night,May,2023,Not Resolved,2.92
17769,13 Jan 2022,10 Jan 2022,11:12 AM,Chennai,530,BURGLARY,36,M,Knife,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Jan,2022,Not Resolved,2.83
11756,7 May 2021,4 May 2021,2:04 AM,Indore,523,FIREARM OFFENSE,67,F,Unknown Weapon,Fire Accident,3,Active,Not Closed,Senior,Not Resolved,Night,May,2021,Not Resolved,2.88
4915,26 Jul 2020,23 Jul 2020,3:12 PM,Varanasi,375,BURGLARY,60,M,Unknown Weapon,Other Crime,3,Solved,16 Sep 2020,Senior,Moderate,Morning,Jul,2020,54.875,0.25
17839,13 Jan 2022,13 Jan 2022,2:33 AM,Hyderabad,367,ARSON,10,F,Explosives,Fire Accident,16,Solved,25 Feb 2022,Minor,Moderate,Night,Jan,2022,43.25,2.71
25423,27 Nov 2022,25 Nov 2022,4:19 PM,Mumbai,102,SHOPLIFTING,75,Other,Blunt Object,Other Crime,9,Solved,8 Jan 2023,Senior,Moderate,Afternoon,Nov,2022,44.70833333,1.58
14980,17 Sep 2021,16 Sep 2021,6:42 AM,Ahmedabad,117,ARSON,74,M,Unknown Weapon,Fire Accident,7,Active,Not Closed,Senior,Not Resolved,Morning,Sep,2021,Not Resolved,2.92
13611,24 Jul 2021,21 Jul 2021,9:19 AM,Bangalore,191,SEXUAL ASSAULT,41,M,Explosives,Violent Crime,9,Solved,30 Dec 2022,Adult,Very Slow,Morning,Jul,2021,526.9166667,0.58
39938,22 Jul 2024,22 Jul 2024,5:05 AM,Pune,350,HOMICIDE,11,F,Explosives,Other Crime,1,Active,Not Closed,Minor,Not Resolved,Night,Jul,2024,Not Resolved,1.38
4107,21 Jun 2020,20 Jun 2020,1:29 PM,Delhi,267,SHOPLIFTING,30,M,Blunt Object,Other Crime,1,Active,Not Closed,Adult,Not Resolved,Morning,Jun,2020,Not Resolved,2.38
28310,27 Mar 2023,25 Mar 2023,6:38 AM,Pune,125,COUNTERFEITING,60,Other,Knife,Other Crime,13,Solved,21 May 2023,Senior,Moderate,Morning,Mar,2023,57.375,2.79
29740,26 May 2023,24 May 2023,9:02 AM,Lucknow,302,DOMESTIC VIOLENCE,30,F,Blunt Object,Violent Crime,18,Solved,23 Aug 2023,Adult,Moderate,Morning,May,2023,91.79166667,1.13
12493,5 Jun 2021,4 Jun 2021,11:00 AM,Kolkata,523,ROBBERY,51,F,Knife,Violent Crime,8,Solved,4 Sep 2021,Adult,Slow,Morning,Jun,2021,92.125,0.92
31065,19 Jul 2023,18 Jul 2023,9:07 PM,Jaipur,528,SHOPLIFTING,29,M,Firearm,Other Crime,18,Solved,16 Aug 2023,Adult,Fast,Night,Jul,2023,28.91666667,1.25
26233,30 Dec 2022,29 Dec 2022,1:33 PM,Chennai,397,DOMESTIC VIOLENCE,49,F,Knife,Violent Crime,17,Active,Not Closed,Adult,Not Resolved,Morning,Dec,2022,Not Resolved,1.17
12876,21 Jun 2021,20 Jun 2021,2:57 AM,Thane,140,IDENTITY THEFT,24,F,Knife,Violent Crime,4,Solved,8 Aug 2021,Adult,Moderate,Night,Jun,2021,49.16666667,0.46
35992,9 Feb 2024,8 Feb 2024,10:09 PM,Mumbai,190,CYBERCRIME,40,F,Other,Other Crime,13,Active,Not Closed,Adult,Not Resolved,Night,Feb,2024,Not Resolved,2.46
37601,18 Apr 2024,15 Apr 2024,3:24 PM,Surat,205,DOMESTIC VIOLENCE,29,M,Unknown Weapon,Violent Crime,1,Active,Not Closed,Adult,Not Resolved,Morning,Apr,2024,Not Resolved,0.08
34259,28 Nov 2023,28 Nov 2023,10:04 AM,Ludhiana,116,ASSAULT,39,F,Poison,Violent Crime,3,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2023,Not Resolved,2.92
29592,20 May 2023,17 May 2023,9:52 PM,Chennai,446,ASSAULT,24,M,Poison,Violent Crime,8,Active,Not Closed,Adult,Not Resolved,Night,May,2023,Not Resolved,2.38
700,1 Feb 2020,30 Jan 2020,12:50 PM,Hyderabad,592,FRAUD,17,F,Knife,Other Crime,10,Active,Not Closed,Minor,Not Resolved,Morning,Jan,2020,Not Resolved,2.29
9612,6 Feb 2021,4 Feb 2021,11:26 AM,Agra,417,ILLEGAL POSSESSION,36,F,Other,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Morning,Feb,2021,Not Resolved,2.58
33077,12 Oct 2023,10 Oct 2023,4:00 AM,Chennai,415,ASSAULT,25,F,Unknown Weapon,Violent Crime,3,Active,Not Closed,Adult,Not Resolved,Night,Oct,2023,Not Resolved,2.46
23138,24 Aug 2022,22 Aug 2022,10:33 AM,Bangalore,159,TRAFFIC VIOLATION,15,M,Explosives,Traffic Fatality,8,Active,Not Closed,Minor,Not Resolved,Morning,Aug,2022,Not Resolved,1.79
35292,12 Jan 2024,10 Jan 2024,4:49 PM,Bangalore,467,COUNTERFEITING,53,M,Firearm,Other Crime,4,Active,Not Closed,Adult,Not Resolved,Afternoon,Jan,2024,Not Resolved,1.29
6284,20 Sep 2020,18 Sep 2020,11:04 PM,Kanpur,358,ILLEGAL POSSESSION,17,M,Firearm,Other Crime,12,Solved,9 Dec 2020,Minor,Moderate,Night,Sep,2020,81.29166667,0.88
15417,5 Oct 2021,4 Oct 2021,10:37 PM,Hyderabad,337,VEHICLE - STOLEN,30,M,Blunt Object,Violent Crime,3,Active,Not Closed,Adult,Not Resolved,Night,Oct,2021,Not Resolved,2.96
3584,1 Jun 2020,29 May 2020,8:50 AM,Kolkata,334,SEXUAL ASSAULT,56,F,Other,Violent Crime,14,Solved,2 Feb 2022,Adult,Very Slow,Morning,May,2020,613.9583333,1.50
25941,18 Dec 2022,16 Dec 2022,12:51 PM,Patna,114,VEHICLE - STOLEN,23,Other,Poison,Violent Crime,5,Active,Not Closed,Adult,Not Resolved,Morning,Dec,2022,Not Resolved,2.96
16495,21 Nov 2021,18 Nov 2021,9:28 AM,Lucknow,385,PUBLIC INTOXICATION,46,F,Explosives,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2021,Not Resolved,0.04
33019,7 Oct 2023,7 Oct 2023,8:07 AM,Mumbai,303,FRAUD,73,M,Poison,Other Crime,19,Solved,25 Oct 2023,Senior,Fast,Morning,Oct,2023,18.04166667,1.42
